,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
283,790353,Branta,ruficollis,,birds,Red-breasted Goose,Grégoire Chauvot,Switzerland,"Genève, Genève, Genève",46.2049,6.1462,380,"call, flight call",uncertain,adult,field recording,//xeno-canto.org/790353,https://xeno-canto.org/790353/download,XC790353-XC---Bernache-a-cou-roux.wav,"{'small': '//xeno-canto.org/sounds/uploaded/UVZCOYYCLV/ffts/XC790353-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UVZCOYYCLV/ffts/XC790353-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UVZCOYYCLV/ffts/XC790353-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UVZCOYYCLV/ffts/XC790353-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/UVZCOYYCLV/wave/XC790353-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UVZCOYYCLV/wave/XC790353-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UVZCOYYCLV/wave/XC790353-large.png'}",//creativecommons.org/publicdomain/zero/1.0/,A,0:35,11:00,2023-04-02,2023-04-02,"['Fulica atra', 'Passer domesticus']",We can hear the wings buzzing while flying.,yes,yes,no,,,no,Sony PCM M10,Sony PCM M10,48000
284,769281,Branta,ruficollis,,birds,Red-breasted Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.4438,5.8169,0,call,,,field recording,//xeno-canto.org/769281,https://xeno-canto.org/769281/download,XC769281-Roodhalsgans-roep---Nes---2021-04-16---1209-copy.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769281-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769281-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769281-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769281-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769281-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769281-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769281-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,12:09,2021-04-16,2022-12-16,[],,yes,yes,no,,,no,Olympus LS12,Dodotronic Hi Sound Stereo parabolic dish,44100
285,769280,Branta,ruficollis,,birds,Red-breasted Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.4438,5.8169,0,call,,,field recording,//xeno-canto.org/769280,https://xeno-canto.org/769280/download,XC769280-Roodhalsgans-roep---Nes---2021-04-16---1208-copy.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769280-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769280-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769280-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769280-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769280-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769280-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769280-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,12:08,2021-04-16,2022-12-16,[],,yes,yes,no,,,no,Olympus LS12,Dodotronic Hi Sound Stereo parabolic dish,44100
286,769279,Branta,ruficollis,,birds,Red-breasted Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.4438,5.8169,0,call,,,field recording,//xeno-canto.org/769279,https://xeno-canto.org/769279/download,XC769279-Roodhalsgans-roep---Nes---2021-04-16---1201-copy.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769279-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769279-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769279-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769279-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769279-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769279-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769279-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:59,12:01,2021-04-16,2022-12-16,[],,yes,yes,no,,,no,Olympus LS12,Dodotronic Hi Sound Stereo parabolic dish,44100
287,769278,Branta,ruficollis,,birds,Red-breasted Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.4438,5.8169,0,call,,,field recording,//xeno-canto.org/769278,https://xeno-canto.org/769278/download,XC769278-Roodhalsgans-roep---Nes---2021-04-16---1159-copy.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769278-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769278-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769278-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769278-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769278-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769278-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769278-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,11:59,2021-04-16,2022-12-16,[],,yes,yes,no,,,no,Olympus LS12,Dodotronic Hi Sound Stereo parabolic dish,44100
288,769277,Branta,ruficollis,,birds,Red-breasted Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.4438,5.8169,0,call,,,field recording,//xeno-canto.org/769277,https://xeno-canto.org/769277/download,XC769277-Roodhalsgans-roep---Nes---2021-04-16---1156-copy.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769277-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769277-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769277-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769277-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769277-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769277-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769277-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,11:56,2021-04-16,2022-12-16,[],,yes,yes,no,,,no,Olympus LS12,Dodotronic Hi Sound Stereo parabolic dish,44100
289,769276,Branta,ruficollis,,birds,Red-breasted Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.4438,5.8169,0,call,,,field recording,//xeno-canto.org/769276,https://xeno-canto.org/769276/download,XC769276-Roodhalsgans-roep---Nes---2021-04-16---1155-copy.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769276-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769276-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769276-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769276-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769276-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769276-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769276-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,11:55,2021-04-16,2022-12-16,[],,yes,yes,no,,,no,Olympus LS12,Dodotronic Hi Sound Stereo parabolic dish,44100
290,769275,Branta,ruficollis,,birds,Red-breasted Goose,Michel Veldt,Netherlands,"Buren, Ameland, Friesland",53.4438,5.8169,0,call,,,field recording,//xeno-canto.org/769275,https://xeno-canto.org/769275/download,XC769275-Roodhalsgans-roep---Nes---2021-04-16---1153-copy.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769275-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769275-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769275-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/ffts/XC769275-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769275-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769275-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ZVOJOYBHDK/wave/XC769275-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,11:53,2021-04-16,2022-12-16,[],,yes,yes,no,,,no,Olympus LS12,Dodotronic Hi Sound Stereo parabolic dish,44100
291,699552,Branta,ruficollis,,birds,Red-breasted Goose,Pascal Christe,Switzerland,"Genève, Genève, Genève",46.2059,6.1477,380,song,,adult,field recording,//xeno-canto.org/699552,https://xeno-canto.org/699552/download,XC699552-BERNACHF00A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/SEIQHUBHAF/ffts/XC699552-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SEIQHUBHAF/ffts/XC699552-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SEIQHUBHAF/ffts/XC699552-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SEIQHUBHAF/ffts/XC699552-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/SEIQHUBHAF/wave/XC699552-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SEIQHUBHAF/wave/XC699552-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SEIQHUBHAF/wave/XC699552-large.png'}",//creativecommons.org/licenses/by-sa/4.0/,A,0:10,09:00,2022-01-29,2022-01-30,[],Feral,yes,yes,no,,,no,,,44100
292,483580,Branta,ruficollis,,birds,Red-breasted Goose,Mark Pearse,United Kingdom,"St. James's park, London, England",51.5018,-0.1387,0,call,,,field recording,//xeno-canto.org/483580,https://xeno-canto.org/483580/download,XC483580-VOC_190622-6480 Red-breasted goose - St James' park.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/UIUHGSRFIB/ffts/XC483580-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UIUHGSRFIB/ffts/XC483580-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UIUHGSRFIB/ffts/XC483580-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UIUHGSRFIB/ffts/XC483580-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/UIUHGSRFIB/wave/XC483580-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UIUHGSRFIB/wave/XC483580-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UIUHGSRFIB/wave/XC483580-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:45,09:05,2019-06-22,2019-06-27,"['Aythya fuligula', 'Psittacula krameri', 'Gallinula chloropus']",,yes,yes,no,,,no,,,44100
293,367386,Branta,ruficollis,,birds,Red-breasted Goose,Jacob Bosma,Netherlands,"Uithuizermeeden, Eemsmond, Groningen",53.4588,6.704,0,call,,,field recording,//xeno-canto.org/367386,https://xeno-canto.org/367386/download,XC367386-Roodhalsgansgaslocatie2-5-17.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HMNMDPLOSM/ffts/XC367386-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HMNMDPLOSM/ffts/XC367386-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HMNMDPLOSM/ffts/XC367386-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HMNMDPLOSM/ffts/XC367386-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HMNMDPLOSM/wave/XC367386-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HMNMDPLOSM/wave/XC367386-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HMNMDPLOSM/wave/XC367386-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:49,12:00,2017-05-02,2017-05-02,['Branta leucopsis'],,yes,yes,unknown,,,no,,,48000
